client,property,unit,freq,total,pct
mobile,padding,px,603487182,1066077286,0.5660820185601441
mobile,padding,<number>,337460791,1066077286,0.31654439638816206
mobile,padding,em,92942859,1066077286,0.08718210229272252
mobile,padding,rem,18975758,1066077286,0.01779960819838722
mobile,padding,%,11299159,1066077286,0.010598817879701078
mobile,margin,<number>,497790229,903931978,0.5506943454986388
mobile,margin,px,335022410,903931978,0.3706278991714131
mobile,margin,em,51341422,903931978,0.056797882196396865
mobile,margin,%,11091456,903931978,0.012270233015254605
mobile,width,%,462485302,876246505,0.5278027351447182
mobile,width,px,344653370,876246505,0.39332923787239527
mobile,width,em,35032481,876246505,0.03998016631176178
mobile,width,<number>,21227827,876246505,0.024225862104865114
desktop,padding,px,436314718,771212064,0.5657519356439943
desktop,padding,<number>,245239342,771212064,0.31799209769623105
desktop,padding,em,66612603,771212064,0.08637391206577391
desktop,padding,rem,13928466,771212064,0.018060487705233823
desktop,padding,%,7756281,771212064,0.010057260981851031
desktop,margin,<number>,357747457,650801756,0.5497026609129186
desktop,margin,px,244313955,650801756,0.3754045725100963
desktop,margin,em,34617783,650801756,0.05319251627833653
desktop,margin,%,7876029,650801756,0.012102040179498225
desktop,width,%,327535460,634195081,0.5164585311565985
desktop,width,px,257164712,634195081,0.40549780297018734
desktop,width,em,25191704,634195081,0.03972232638619283
desktop,width,<number>,14757652,634195081,0.023269893510889594
mobile,font-size,px,370840610,525873236,0.7051901192400672
mobile,font-size,em,79724045,525873236,0.15160316126071113
mobile,font-size,rem,29383671,525873236,0.05587595828892878
mobile,font-size,%,25250958,525873236,0.0480171955356937
mobile,font-size,<number>,9907021,525873236,0.018839180855364922
mobile,font-size,pt,7897992,525873236,0.015018813393271834
mobile,height,px,346738848,523890413,0.6618537758964488
mobile,height,%,117105414,523890413,0.22353036263711892
mobile,height,<number>,26588121,523890413,0.05075130283019705
mobile,height,em,21325365,523890413,0.040705774472723555
mobile,box-shadow,px,204710622,404783148,0.505729112023211
mobile,box-shadow,<number>,194276645,404783148,0.47995240404622774
desktop,height,px,257304016,383647376,0.6706784200708309
desktop,height,%,83061472,383647376,0.21650473115708213
desktop,height,<number>,19063734,383647376,0.04969077124614558
desktop,height,em,15182414,383647376,0.0395738768196345
desktop,font-size,px,270231446,383166941,0.7052577273361378
desktop,font-size,em,57280476,383166941,0.14949221832788545
desktop,font-size,rem,22010551,383166941,0.057443763135087374
desktop,font-size,%,17214293,383166941,0.04492635234937974
desktop,font-size,<number>,8020167,383166941,0.020931260351085456
desktop,font-size,pt,6378820,383166941,0.016647626184431188
desktop,box-shadow,px,153478891,306658605,0.5004878014103012
desktop,box-shadow,<number>,148992779,306658605,0.48585879075527655
mobile,left,<number>,135802033,284228264,0.4777921487779977
mobile,left,px,74159220,284228264,0.26091430513047076
mobile,left,%,60134327,284228264,0.21157053895245267
mobile,left,em,12409621,284228264,0.04366075641231795
mobile,top,<number>,123367638,272550497,0.4526413980452217
mobile,top,px,85967362,272550497,0.31541810763970096
mobile,top,%,51003295,272550497,0.187133377342548
mobile,top,em,9952887,272550497,0.03651758888555613
mobile,border-radius,px,160775901,249611992,0.6441032728908314
mobile,border-radius,<number>,49190587,249611992,0.19706820415903736
mobile,border-radius,%,27917391,249611992,0.11184314814490162
mobile,border-radius,em,7807133,249611992,0.03127707502129946
mobile,border-radius,rem,3757857,249611992,0.015054793521298447
mobile,line-height,px,119428561,248833908,0.4799529210464355
mobile,line-height,<number>,86272197,248833908,0.3467059521486115
mobile,line-height,em,31717165,248833908,0.12746319524909763
mobile,line-height,%,5447800,248833908,0.021893318494198146
mobile,line-height,rem,2880773,248833908,0.011577091816602422
mobile,border,px,157332683,225222132,0.6985667065792628
mobile,border,<number>,63712285,225222132,0.2828864305396061
mobile,border,em,3595029,225222132,0.015962147982863426
desktop,left,<number>,95551876,197475973,0.48386583212328316
desktop,left,px,50138647,197475973,0.2538974551602792
desktop,left,%,41672104,197475973,0.21102366716785337
